id	product	G8C	GR10	Alt63	St10y	GR6	G10	G13	St10	N4Sz33	N4G2	10GB	strains
OG0000071:	[gene=gp2.3]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	0	10
OG0000045:	[gene=gp47]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000053:	[gene=gp55]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000020:	[gene=gp24]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000065:	[gene=gp69]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000017:	[gene=gp17.1]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000005:	[gene=gp6]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000093:	hypothetical_protein	0	0	0	0	0	0	1	0	0	0	0	1
OG0000082:	hypothetical_protein	0	0	0	0	1	0	1	0	1	1	0	4
OG0000033:	[gene=gp35]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000000:	[gene=gp63.1]_[protein=tail_fiber_protein]	2	1	1	1	1	1	2	1	1	2	1	11
OG0000084:	hypothetical_protein	0	0	0	0	1	0	1	0	1	1	0	4
OG0000025:	[gene=gp29]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000060:	[gene=gp62]_[protein=putative_holin_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000057:	[gene=gp59]_[protein=portal_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000040:	[gene=gp42]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000088:	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	1	1
OG0000086:	[gene=gp1.2]_[protein=hypothetical_protein]	1	0	0	0	0	0	0	0	0	0	1	2
OG0000013:	[gene=gp15]_[protein=RNA_polymerase_RNAP1_subunit_B]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000097:	hypothetical_protein	0	0	0	0	0	0	0	0	1	0	0	1
OG0000037:	[gene=gp39]_[protein=DNA_polymerase]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000079:	hypothetical_protein	0	0	0	0	1	0	1	0	1	1	1	5
OG0000094:	[gene=gp61]_[protein=N-acetylmuramidase]	0	0	0	0	0	0	1	0	0	0	0	1
OG0000058:	[gene=gp60]_[protein=putative_Rz/RzI_spanin_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000056:	[gene=gp58]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000049:	[gene=gp51]_[protein=structural_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000054:	[gene=gp56]_[protein=major_coat_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000087:	[gene=gp41.1]_[protein=putative_HNH_homing_endonuclease]	1	0	1	0	0	0	0	0	0	0	0	2
OG0000069:	[gene=gp71.2]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000098:	hypothetical_protein	0	0	0	0	0	0	0	0	1	0	0	1
OG0000009:	[gene=gp11]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000096:	[gene=gp37]_[protein=DNA_helicase]	0	0	0	0	0	0	0	0	0	1	0	1
OG0000070:	[gene=gp47.2]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	0	1	1	10
OG0000034:	[gene=gp36]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000012:	[gene=gp14]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000036:	[gene=gp38]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000021:	[gene=gp25]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000038:	[gene=gp40]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000032:	[gene=gp34]_[protein=rIIB-like_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000014:	[gene=gp16]_[protein=RNA_polymerase_RNAP2_subunit_A]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000029:	[gene=gp31]_[protein=hypothetical_protein]	1	1	1	1	1	1	1	1	1	1	1	11
OG0000083:	[gene=gp16]_[protein=RNA_polymerase_RNAP2_subunit_A]	0	0	0	0	1	0	1	0	1	1	0	4
